Action,Reward
-0.71126974,0.9332360719077698
-0.6997361,0.9282740350158278
-0.7067704,0.934285135677013
-0.7113122,0.939313260390809
-0.7209327,0.9479134484601127
-0.7277931,0.9521650854452206
-0.7281903,0.9522494401852946
-0.7310611,0.9534457194634721
-0.73149383,0.9537799217802476
-0.71378237,0.9478300526751468
-0.70311314,0.9446545520665333
-0.70471215,0.9499761298435361
-0.70777726,0.9577081455481282
-0.7017341,0.9609316065039918
-0.6978922,0.9614079461113937
-0.70232785,0.9651142666901618
-0.70087934,0.9654211666488114
-0.7091949,0.9718211845316329
-0.71202177,0.9743963453589105
-0.70426625,0.9736931487454246
-0.7011388,0.975841779330271
-0.703709,0.9817676791591218
-0.7075039,0.9856997659797877
-0.69881546,0.9848461488754086
-0.69589734,0.9875165944700406
-0.6967772,0.9971222592128848
-0.69860804,1.007677661038716
-0.7069882,1.019062033510367
-0.7037766,1.0203344328495225
-0.7078287,1.0226086329116102
-0.7116766,1.0263794317636141
-0.71881956,1.0272206821438599
-0.7225162,1.0244776265898843
-0.72131896,1.0236492560734918
-0.72653925,1.0274011601471844
-0.7275969,1.028503218627804
-0.7196634,1.0351827170688792
-0.71715486,1.0501155846229293
-0.71137464,1.0480614975464324
-0.7078841,1.047512223616809
-0.70731354,1.0478009494454106
-0.70185935,1.04321327383491
-0.7034434,1.0448488764266197
-0.70569015,1.050646858918728
-0.6990553,1.0449905304410076
-0.6866763,1.022776596965961
-0.6929099,1.0187764360386917
-0.7016127,1.0227443172257673
-0.7035074,1.02353901040184
-0.71487284,1.0287667375302545
-0.72557765,1.0261963684963367
-0.71750927,1.020209912268515
-0.714794,1.0206770352402879
-0.72003305,1.0255588711555494
-0.7220077,1.0282093082494153
-0.72036374,1.0297448413001336
-0.7273073,1.0276962044839795
-0.7220157,1.0249772763853708
-0.726356,1.0237750607596938
-0.7272328,1.020287153349836
-0.72977644,1.0169503530435393
-0.7297033,1.0136895038851028
-0.7323057,1.0102880713415765
-0.7291678,1.007588745474557
-0.73026645,1.0069273903594615
-0.72482145,1.0030831032638634
-0.7240764,1.0016448977932744
-0.7253951,1.0013322079014522
-0.720801,0.9999675556959179
-0.7222606,1.0018127877197218
-0.72536767,1.0066472939613176
-0.71709305,1.0065325797129812
-0.7263292,1.0135283177275456
-0.7218503,1.0204182549276022
-0.7258853,1.0586421474227277
-0.7285552,1.1086328628926212
-0.7186029,1.1517861926763593
-0.72193015,1.2372232382471986
-0.7279043,1.2641378064564077
-0.7281549,1.2595891219583093
-0.72598064,1.2767905613312804
-0.7192751,1.3052156609039058
-0.72166234,1.3133033612616738
-0.7174592,1.2882023040888906
-0.7211311,1.292896510168238
-0.7207289,1.2886991768921277
